"MES";"CONTADOR";"CONTADOR_TIPO";"CONTADOR_SENTIDO";"ZONA";"NUMERO";"TRIMESTRE";"YEAR"
2019-01-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";3764;"2019-1";2019
2019-01-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";185;"2019-1";2019
2019-01-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";896;"2019-1";2019
2019-01-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";1864;"2019-1";2019
2019-01-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";863;"2019-1";2019
2019-01-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Estella";"Vías Verdes - Eurovelo";120;"2019-1";2019
2019-01-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Estella";"Vías Verdes - Eurovelo";8;"2019-1";2019
2019-01-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Aragón";"Vías Verdes - Eurovelo";554;"2019-1";2019
2019-01-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Aragón";"Vías Verdes - Eurovelo";211;"2019-1";2019
2019-01-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Lumbier - Liédena";"Vías Verdes - Eurovelo";2549;"2019-1";2019
2019-01-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Lumbier - Liédena";"Vías Verdes - Eurovelo";56;"2019-1";2019
2019-01-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";337;"2019-1";2019
2019-01-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";1;"2019-1";2019
2019-01-01;"Aurizberri-Espinal ";"Coches";"Santiago de Compostela";"Camino de Santiago";1;"2019-1";2019
2019-01-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";1522;"2019-1";2019
2019-01-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";55;"2019-1";2019
2019-01-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";59;"2019-1";2019
2019-01-01;"Urederra";"Peatones";"Vuelta";"Recursos turístico ";2456;"2019-1";2019
2019-01-01;"Las Roscas";"Peatones";"Vuelta";"Recursos turístico ";2246;"2019-1";2019
