"TRIMESTRE";"CONTADOR_TIPO";"NUMERO_TRIMESTRE"
"2019-1";"Bicicletas";3799
"2019-1";"Coches";4846
"2019-1";"Peatones";92124
"2019-2";"Bicicletas";9242
"2019-2";"Coches";6317
"2019-2";"Peatones";216786
"2019-3";"Bicicletas";13947
"2019-3";"Coches";5995
"2019-3";"Peatones";236647
"2019-4";"Bicicletas";4795
"2019-4";"Coches";5484
"2019-4";"Peatones";93811
"2020-1";"Bicicletas";5439
"2020-1";"Coches";9438
"2020-1";"Peatones";53766
"2020-2";"Bicicletas";21755
"2020-2";"Coches";24077
"2020-2";"Peatones";31221
"2020-3";"Bicicletas";47127
"2020-3";"Coches";69885
"2020-3";"Peatones";140801
"2020-4";"Bicicletas";16668
"2020-4";"Coches";26026
"2020-4";"Peatones";53573
"2021-1";"Bicicletas";6393
"2021-1";"Coches";13377
"2021-1";"Peatones";69315
"2021-2";"Bicicletas";11806
"2021-2";"Coches";18096
"2021-2";"Peatones";117473
"2021-3";"Bicicletas";28918
"2021-3";"Coches";21972
"2021-3";"Peatones";237878
"2021-4";"Bicicletas";5325
"2021-4";"Coches";15739
"2021-4";"Peatones";113128
"2022-1";"Bicicletas";3959
"2022-1";"Coches";12952
"2022-1";"Peatones";84603
"2022-2";"Bicicletas";8106
"2022-2";"Coches";18594
"2022-2";"Peatones";192406
"2022-3";"Bicicletas";13514
"2022-3";"Coches";20575
"2022-3";"Peatones";228586
"2022-4";"Bicicletas";6895
"2022-4";"Coches";15721
"2022-4";"Peatones";107082
"2023-1";"Bicicletas";3325
"2023-1";"Coches";14772
"2023-1";"Peatones";83654
"2023-2";"Bicicletas";6959
"2023-2";"Coches";19069
"2023-2";"Peatones";191014
"2023-3";"Bicicletas";16639
"2023-3";"Coches";28923
"2023-3";"Peatones";228586
"2023-4";"Bicicletas";4959
"2023-4";"Coches";20476
"2023-4";"Peatones";108228
"2024-1";"Bicicletas";4757
"2024-1";"Coches";18825
"2024-1";"Peatones";79027
"2024-2";"Bicicletas";14158
"2024-2";"Coches";23998
"2024-2";"Peatones";155773
"2024-3";"Bicicletas";13994
"2024-3";"Coches";28429
"2024-3";"Peatones";191217
