"animal_name";"hair";"feathers";"eggs";"milk";"airborne";"aquatic";"predator";"toothed";"backbone";"breathes";"venomous";"fins";"legs";"tail";"domestic";"catsize";"type"
"mink";1;0;0;1;0;1;1;1;1;1;0;0;4;1;0;1;1
"polecat";1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1;1
"flea";0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0;6
"seahorse";0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;4
"deer";1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1;1
"wren";0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0;2
"lobster";0;0;1;0;0;1;1;0;0;0;0;0;6;0;0;0;7
"flamingo";0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;1;2
"reindeer";1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1;1
"termite";0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0;6
"hare";1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;0;1
"dolphin";0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1;1
"frog";0;0;1;0;0;1;1;1;1;1;0;0;4;0;0;0;5
"bass";0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;4
"housefly";1;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0;6
"frog.1";0;0;1;0;0;1;1;1;1;1;1;0;4;0;0;0;5
"hamster";1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;0;1
"boar";1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1;1
"gull";0;1;1;0;1;1;1;0;1;1;0;0;2;1;0;0;2
"swan";0;1;1;0;1;1;0;0;1;1;0;0;2;1;0;1;2
"parakeet";0;1;1;0;1;0;0;0;1;1;0;0;2;1;1;0;2
"kiwi";0;1;1;0;0;0;1;0;1;1;0;0;2;1;0;0;2
"vampire";1;0;0;1;1;0;0;1;1;1;0;0;2;1;0;0;1
"ladybird";0;0;1;0;1;0;1;0;0;1;0;0;6;0;0;0;6
"crab";0;0;1;0;0;1;1;0;0;0;0;0;4;0;0;0;7
"duck";0;1;1;0;1;1;0;0;1;1;0;0;2;1;0;0;2
"slowworm";0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;3
"carp";0;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;4
"squirrel";1;0;0;1;0;0;0;1;1;1;0;0;2;1;0;0;1
