MES;CONTADOR;CONTADOR_TIPO;CONTADOR_SENTIDO;ZONA;NUMERO
01/01/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;3764
01/01/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;185
01/01/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;896
01/01/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;1864
01/01/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;863
01/01/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Estella;Vías Verdes - Eurovelo;120
01/01/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Estella;Vías Verdes - Eurovelo;8
01/01/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;554
01/01/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;211
01/01/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;2549
01/01/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;56
01/01/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;337
01/01/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;1
01/01/2019;Aurizberri-Espinal ;Coches;Santiago de Compostela;Camino de Santiago;1
01/01/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;1522
01/01/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;55
01/01/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;59
01/01/2019;Urederra;Peatones;Vuelta;Recursos turístico ;2456
01/01/2019;Las Roscas;Peatones;Vuelta;Recursos turístico ;2246
01/01/2019;Xorroxin;Peatones;Ida;Recursos turístico ;256
01/01/2019;Amaiur;Peatones;Ida;Recursos turístico ;2234
01/02/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;3266
01/02/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;608
01/02/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1054
01/02/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;1920
01/02/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;141
01/02/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;647
01/02/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Álava;Vías Verdes - Eurovelo;112
01/02/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;418
01/02/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;666
01/02/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;145
01/02/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;5582
01/02/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;177
01/02/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;424
01/02/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;11
01/02/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;1078
01/02/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;135
01/02/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;319
01/02/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;660
01/02/2019;Urederra;Peatones;Vuelta;Recursos turístico ;4687
01/02/2019;Las Roscas;Peatones;Ida;Recursos turístico ;1065
01/02/2019;Xorroxin;Peatones;Ida;Recursos turístico ;504
01/02/2019;Amaiur;Peatones;Ida;Recursos turístico ;3524
01/03/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;5343
01/03/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;963
01/03/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1275
01/03/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;3666
01/03/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Pamplona;Vías Verdes - Eurovelo;329
01/03/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;1220
01/03/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Estella;Vías Verdes - Eurovelo;229
01/03/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;532
01/03/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Tudela ;Vías Verdes - Eurovelo;388
01/03/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Tudela ;Vías Verdes - Eurovelo;75
